IP,Port,Service,State,Product,Version
172.16.80.128,21,ftp,open,vsftpd,2.3.4
172.16.80.128,22,ssh,open,OpenSSH,4.7p1 Debian 8ubuntu1
172.16.80.128,23,telnet,open,Linux telnetd,
172.16.80.128,25,smtp,open,Postfix smtpd,
172.16.80.128,53,domain,open,ISC BIND,9.4.2
172.16.80.128,80,http,open,Apache httpd,2.2.8
172.16.80.128,111,rpcbind,open,,2
172.16.80.128,139,netbios-ssn,open,Samba smbd,3.X - 4.X
172.16.80.128,445,netbios-ssn,open,Samba smbd,3.X - 4.X
172.16.80.128,512,exec,open,,
172.16.80.128,513,login,open,,
172.16.80.128,514,shell,open,,
172.16.80.128,1099,rmiregistry,open,GNU Classpath grmiregistry,
172.16.80.128,1524,shell,open,Metasploitable root shell,
172.16.80.128,2049,nfs,open,,2-4
172.16.80.128,2121,ftp,open,ProFTPD,1.3.1
172.16.80.128,3306,mysql,open,MySQL,5.0.51a-3ubuntu5
172.16.80.128,5432,postgresql,open,PostgreSQL DB,8.3.0 - 8.3.7
172.16.80.128,5900,vnc,open,VNC,
172.16.80.128,6000,X11,open,,
172.16.80.128,6667,irc,open,UnrealIRCd,
172.16.80.128,8009,ajp13,open,Apache Jserv,
172.16.80.128,8180,http,open,Apache Tomcat/Coyote JSP engine,1.1
